vendor,plan_code,channel,country_code,status,reason,checked_at,evidence_url,price_kind,amount,currency,cny_estimate,verified_at,price_source
"anthropic","claude-max-20x-monthly","web","JP","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","PH","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","SG","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","TR","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","TW","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","US","verified","已从官方页面解析套餐价格","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","exact","200.000000","USD","1342.178627","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan"
"anthropic","claude-max-5x-monthly","app_store","AU","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684","exact","199.990000","AUD","966.779476","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","BR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684","exact","799.900000","BRL","1050.204538","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","CA","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684","exact","179.990000","CAD","875.304905","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","GB","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684","exact","119.990000","GBP","1089.489867","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684"
